date,sex,ethnicity,abs,rate
2000-01-01,both,overall,537853,22.9
2001-01-01,both,overall,505479,21.0
2002-01-01,both,overall,494538,20.2
2003-01-01,both,overall,481399,19.2
2004-01-01,both,overall,481800,18.9
2005-01-01,both,overall,474473,18.2
2006-01-01,both,overall,472698,17.8
2007-01-01,both,overall,479647,17.7
2008-01-01,both,overall,493203,17.9
2009-01-01,both,overall,501644,17.9
2010-01-01,both,overall,491239,17.2
2011-01-01,both,overall,511594,17.6
2012-01-01,both,overall,526012,17.8
2013-01-01,both,overall,503914,16.7
2014-01-01,both,overall,528612,17.2
2015-01-01,both,overall,521136,16.7
2016-01-01,both,overall,508203,16.1
2017-01-01,both,overall,508685,15.9
2018-01-01,both,overall,501945,15.5
2019-01-01,both,overall,489863,15.1
2020-01-01,both,overall,471504,14.5
2021-01-01,both,overall,439744,13.5
2022-01-01,both,overall,423124,12.9
2000-01-01,male,overall,277402,23.2
2001-01-01,male,overall,261051,21.3
2002-01-01,male,overall,255785,20.4
2003-01-01,male,overall,248962,19.4
2004-01-01,male,overall,248817,19.0
2005-01-01,male,overall,244875,18.3
2006-01-01,male,overall,244758,18.0
2007-01-01,male,overall,247425,17.8
2008-01-01,male,overall,255076,18.0
2009-01-01,male,overall,258783,17.9
2010-01-01,male,overall,253718,17.2
2011-01-01,male,overall,264427,17.7
2012-01-01,male,overall,272193,17.9
2013-01-01,male,overall,260725,16.7
2014-01-01,male,overall,273139,17.2
2015-01-01,male,overall,269255,16.7
2016-01-01,male,overall,262755,16.1
2017-01-01,male,overall,262575,15.9
2018-01-01,male,overall,259582,15.5
2019-01-01,male,overall,253438,15.1
2020-01-01,male,overall,244314,14.4
2021-01-01,male,overall,226896,13.3
2022-01-01,male,overall,218345,12.8
2000-01-01,female,overall,260451,22.6
2001-01-01,female,overall,244428,20.8
2002-01-01,female,overall,238753,19.9
2003-01-01,female,overall,232437,19.0
2004-01-01,female,overall,232983,18.7
2005-01-01,female,overall,229598,18.1
2006-01-01,female,overall,227940,17.6
2007-01-01,female,overall,232222,17.7
2008-01-01,female,overall,238127,17.8
2009-01-01,female,overall,242861,17.8
2010-01-01,female,overall,237521,17.1
2011-01-01,female,overall,247167,17.6
2012-01-01,female,overall,253819,17.8
2013-01-01,female,overall,243189,16.6
2014-01-01,female,overall,255473,17.2
2015-01-01,female,overall,251881,16.7
2016-01-01,female,overall,245448,16.1
2017-01-01,female,overall,246110,15.9
2018-01-01,female,overall,242363,15.5
2019-01-01,female,overall,236425,15.0
2020-01-01,female,overall,227190,14.7
2021-01-01,female,overall,212848,13.7
2022-01-01,female,overall,204779,13.1
2000-01-01,both,bumi_malay,303782,25.8
2001-01-01,both,bumi_malay,288828,24.0
2002-01-01,both,bumi_malay,284038,23.1
2003-01-01,both,bumi_malay,278699,22.2
2004-01-01,both,bumi_malay,278311,21.8
2005-01-01,both,bumi_malay,273364,21.0
2006-01-01,both,bumi_malay,273358,20.6
2007-01-01,both,bumi_malay,277993,20.6
2008-01-01,both,bumi_malay,287827,20.9
2009-01-01,both,bumi_malay,301649,21.5
2010-01-01,both,bumi_malay,294234,20.5
2011-01-01,both,bumi_malay,311305,21.4
2012-01-01,both,bumi_malay,314936,21.3
2013-01-01,both,bumi_malay,312237,20.8
2014-01-01,both,bumi_malay,330521,21.6
2015-01-01,both,bumi_malay,333226,21.4
2016-01-01,both,bumi_malay,331637,21.0
2017-01-01,both,bumi_malay,335964,20.9
2018-01-01,both,bumi_malay,334304,20.5
2019-01-01,both,bumi_malay,322064,19.5
2020-01-01,both,bumi_malay,313103,18.5
2021-01-01,both,bumi_malay,304620,17.7
2022-01-01,both,bumi_malay,291353,16.7
2000-01-01,male,bumi_malay,156352,26.3
2001-01-01,male,bumi_malay,149128,24.6
2002-01-01,male,bumi_malay,146738,23.7
2003-01-01,male,bumi_malay,143938,22.8
2004-01-01,male,bumi_malay,143596,22.3
2005-01-01,male,bumi_malay,141155,21.5
2006-01-01,male,bumi_malay,141117,21.1
2007-01-01,male,bumi_malay,143166,21.0
2008-01-01,male,bumi_malay,148714,21.4
2009-01-01,male,bumi_malay,155634,22.0
2010-01-01,male,bumi_malay,152096,21.1
2011-01-01,male,bumi_malay,160852,21.9
2012-01-01,male,bumi_malay,162779,21.9
2013-01-01,male,bumi_malay,161490,21.3
2014-01-01,male,bumi_malay,170772,22.2
2015-01-01,male,bumi_malay,171964,22.0
2016-01-01,male,bumi_malay,171629,21.6
2017-01-01,male,bumi_malay,173323,21.5
2018-01-01,male,bumi_malay,172959,21.1
2019-01-01,male,bumi_malay,166464,20.0
2020-01-01,male,bumi_malay,162248,18.9
2021-01-01,male,bumi_malay,157072,18.0
2022-01-01,male,bumi_malay,150331,17.0
2000-01-01,female,bumi_malay,147430,25.2
2001-01-01,female,bumi_malay,139700,23.4
2002-01-01,female,bumi_malay,137300,22.5
2003-01-01,female,bumi_malay,134761,21.7
2004-01-01,female,bumi_malay,134715,21.2
2005-01-01,female,bumi_malay,132209,20.5
2006-01-01,female,bumi_malay,132241,20.1
2007-01-01,female,bumi_malay,134827,20.1
2008-01-01,female,bumi_malay,139113,20.4
2009-01-01,female,bumi_malay,146015,21.0
2010-01-01,female,bumi_malay,142138,20.0
2011-01-01,female,bumi_malay,150453,20.8
2012-01-01,female,bumi_malay,152157,20.7
2013-01-01,female,bumi_malay,150747,20.2
2014-01-01,female,bumi_malay,159749,21.1
2015-01-01,female,bumi_malay,161262,20.9
2016-01-01,female,bumi_malay,160008,20.4
2017-01-01,female,bumi_malay,162641,20.4
2018-01-01,female,bumi_malay,161345,19.9
2019-01-01,female,bumi_malay,155600,18.9
2020-01-01,female,bumi_malay,150855,18.1
2021-01-01,female,bumi_malay,147548,17.3
2022-01-01,female,bumi_malay,141022,16.4
2000-01-01,both,bumi_other,60498,23.6
2001-01-01,both,bumi_other,59867,22.7
2002-01-01,both,bumi_other,59373,22.0
2003-01-01,both,bumi_other,58596,21.1
2004-01-01,both,bumi_other,59916,21.1
2005-01-01,both,bumi_other,60498,20.7
